file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
International Trade in Goods (ITG).csv,Paraguay,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M06,492,2
International Trade in Goods (ITG).csv,Uruguay,Monthly,IMF.STA:ITG(4.0.0),2006-M01,2026-M05,490,2
International Trade in Goods (ITG).csv,Ecuador,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q1,170,2
International Trade in Goods (ITG).csv,Colombia,Quarterly,IMF.STA:ITG(4.0.0),2005-Q1,2026-Q1,170,2
International Trade in Goods (by partner country) (IMTS).csv,Chile,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q4,2026-Q1,74856,618
International Trade in Goods (by partner country) (IMTS).csv,Chile,Monthly,IMF.STA:IMTS(1.0.0),1961-M01,2026-M05,195938,618
International Trade in Goods (by partner country) (IMTS).csv,Brazil,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q1,2026-Q1,152335,872
International Trade in Goods (by partner country) (IMTS).csv,Brazil,Monthly,IMF.STA:IMTS(1.0.0),1960-M01,2026-M05,423292,872
International Trade in Goods (by partner country) (IMTS).csv,Uruguay,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q4,2026-Q1,81144,619
International Trade in Goods (by partner country) (IMTS).csv,Bolivia,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q4,2026-Q1,61556,624
International Trade in Goods (by partner country) (IMTS).csv,Ecuador,Monthly,IMF.STA:IMTS(1.0.0),1960-M04,2026-M05,210021,645
International Trade in Goods (by partner country) (IMTS).csv,Ecuador,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q1,2026-Q1,75306,645
International Trade in Goods (by partner country) (IMTS).csv,Bolivia,Monthly,IMF.STA:IMTS(1.0.0),1981-M01,2026-M05,165103,624
International Trade in Goods (by partner country) (IMTS).csv,Paraguay,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q1,2026-Q1,67221,859
International Trade in Goods (by partner country) (IMTS).csv,Argentina,Monthly,IMF.STA:IMTS(1.0.0),1960-M01,2026-M05,291675,645
International Trade in Goods (by partner country) (IMTS).csv,Argentina,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q1,2026-Q1,104630,645
International Trade in Goods (by partner country) (IMTS).csv,Peru,Monthly,IMF.STA:IMTS(1.0.0),1960-M01,2026-M05,322653,869
International Trade in Goods (by partner country) (IMTS).csv,Peru,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q1,2026-Q1,114487,869
International Trade in Goods (by partner country) (IMTS).csv,Colombia,Quarterly,IMF.STA:IMTS(1.0.0),1960-Q1,2026-Q1,97646,654
International Trade in Goods (by partner country) (IMTS).csv,Paraguay,Monthly,IMF.STA:IMTS(1.0.0),1960-M01,2026-M05,191978,859
International Trade in Goods (by partner country) (IMTS).csv,Uruguay,Monthly,IMF.STA:IMTS(1.0.0),1961-M01,2026-M05,205064,620
International Trade in Goods (by partner country) (IMTS).csv,Colombia,Monthly,IMF.STA:IMTS(1.0.0),1960-M02,2026-M05,283797,654
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Paraguay,Quarterly,IMF.STA:MFS_CBS(24.0.0),2001-Q4,2026-Q1,2901,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Paraguay,Monthly,IMF.STA:MFS_CBS(24.0.0),2001-M12,2026-M03,8643,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Peru,Quarterly,IMF.STA:MFS_CBS(24.0.0),2006-Q1,2026-Q1,2426,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Peru,Monthly,IMF.STA:MFS_CBS(24.0.0),2006-M01,2026-M04,7308,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Argentina,Quarterly,IMF.STA:MFS_CBS(24.0.0),2017-Q1,2026-Q2,1136,30
