entidad_publicada,entidad_clave,es_agregado,metodo_clave,celdas,meses,primer_mes,ultimo_mes,tipos
Solar S.A. Ahorro y Finanzas S.A.E.C.A.,SOLAR AHORRO Y FINANZAS,FALSE,normalizacion_automatica,403,2,2015-04,2015-05,financieras
Solar S.A. de Ahora y Préstamos para la Vivienda,SOLAR AHORRO Y FINANZAS,FALSE,alias_revisable,8,2,2013-10,2013-11,financieras
Solar S.A. de Ahorro y Préstamo para la Vivienda,SOLAR AHORRO Y FINANZAS,FALSE,alias_revisable,10507,21,2013-06,2015-03,financieras
Sudacam S.A. Casa Cambiaria,SUDACAM CASA CAMBIARIA,FALSE,normalizacion_automatica,850,7,2013-06,2013-12,casas_cambio
Sudamerica Express S.A. Casa Cambiaria,SUDAMERICA EXPRESS CASA CAMBIARIA,FALSE,normalizacion_automatica,3076,24,2014-01,2015-12,casas_cambio
Sudamérica Express S.A. Casa Cambiaria,SUDAMERICA EXPRESS CASA CAMBIARIA,FALSE,normalizacion_automatica,2023,29,2011-01,2013-05,casas_cambio
Banco Sudameris S.A.E.C.A.,SUDAMERIS BANK,FALSE,alias_revisable,527,17,2011-01,2012-05,bancos
SUDAMERIS BANK S.A.E.C.A.,SUDAMERIS BANK,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Sudameris Bank S.A.E.C.A.,SUDAMERIS BANK,FALSE,normalizacion_automatica,28802,60,2011-01,2015-12,"bancos,financieras"
9-    Tú Financiera S.A.,TU FINANCIERA,FALSE,normalizacion_automatica,3498,40,2012-09,2015-12,financieras
TU FINANCIERA S.A.,TU FINANCIERA,FALSE,normalizacion_automatica,98,10,2011-11,2012-11,financieras
Tu Financiera S.A.,TU FINANCIERA,FALSE,normalizacion_automatica,3748,35,2011-02,2013-12,financieras
Tú Financiera S.A.,TU FINANCIERA,FALSE,normalizacion_automatica,19911,46,2012-03,2015-12,financieras
Uniexpress S.A. Casa Cambiaria,UNIEXPRESS CASA CAMBIARIA,FALSE,normalizacion_automatica,2432,19,2014-06,2015-12,casas_cambio
Valor S.A. Casa Cambiaria,VALOR CASA CAMBIARIA,FALSE,normalizacion_automatica,5803,60,2011-01,2015-12,casas_cambio
VISION BANCO S.A.E.C.A.,VISION BANCO,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Visión Banco,VISION BANCO,FALSE,normalizacion_automatica,340,17,2011-01,2012-05,bancos
Visión Banco S.A.E.C.A.,VISION BANCO,FALSE,normalizacion_automatica,28526,60,2011-01,2015-12,"bancos,financieras"
Zafra Cambios S.A.,ZAFRA CAMBIOS,FALSE,normalizacion_automatica,5813,60,2011-01,2015-12,casas_cambio
CON PARTICIPACION DE FONDO GANADERO,CON PARTICIPACION DE FONDO GANADERO,TRUE,normalizacion_automatica,11699,36,2011-01,2013-12,financieras
Con Participación del Fondo Ganadero,CON PARTICIPACION DEL FONDO GANADERO,TRUE,normalizacion_automatica,12943,27,2013-09,2015-12,financieras
PARTICIPACION ESTATAL,PARTICIPACION ESTATAL,TRUE,normalizacion_automatica,597,36,2011-01,2013-12,"bancos,financieras"
PARTICIPACIÓN ESTATAL,PARTICIPACION ESTATAL,TRUE,normalizacion_automatica,69,6,2013-07,2013-12,bancos
Participación Estatal,PARTICIPACION ESTATAL,TRUE,normalizacion_automatica,13094,27,2013-09,2015-12,bancos
PROPIEDAD EXTRANJ. MAYORITARIA,PROPIEDAD EXTRANJ MAYORITARIA,TRUE,normalizacion_automatica,811,36,2011-01,2013-12,"bancos,financieras"
Propiedad Extranjera Mayoritarias,PROPIEDAD EXTRANJERA MAYORITARIAS,TRUE,normalizacion_automatica,13742,27,2013-09,2015-12,bancos
PROPIEDAD LOCAL MAYORITARIA,PROPIEDAD LOCAL MAYORITARIA,TRUE,normalizacion_automatica,559,36,2011-01,2013-12,bancos
Propiedad Local Mayoritaria,PROPIEDAD LOCAL MAYORITARIA,TRUE,normalizacion_automatica,13070,27,2013-09,2015-12,bancos
SISTEMA,SISTEMA,TRUE,normalizacion_automatica,17415,60,2011-01,2015-12,"bancos,financieras"
Sistema,SISTEMA,TRUE,normalizacion_automatica,7525,27,2013-09,2015-12,bancos
SUB-TOTAL,SUB-TOTAL | BANCO ABN AMRO PARAGUAY,TRUE,normalizacion_automatica,3,1,2011-01,2011-01,bancos
SUB-TOTAL,SUB-TOTAL | BANCO DE LA NACION ARGENTINA,TRUE,normalizacion_automatica,2,1,2011-01,2011-01,bancos
SUB-TOTAL,SUB-TOTAL | BANCO INTEGRACION,TRUE,normalizacion_automatica,31,8,2011-10,2012-05,bancos
SUB-TOTAL,SUB-TOTAL | INTENDENCIA DE ANALISIS FINANCIERO,TRUE,normalizacion_automatica,24,6,2013-03,2013-08,financieras
SUB-TOTAL,SUB-TOTAL | PARTICIPACION ESTATAL,TRUE,normalizacion_automatica,11374,36,2011-01,2013-12,"bancos,financieras"
SUB-TOTAL,SUB-TOTAL | PROPIEDAD EXTRANJ MAYORITARIA,TRUE,normalizacion_automatica,11712,36,2011-01,2013-12,bancos
Sub - Total,SUB-TOTAL | PROPIEDAD EXTRANJERA MAYORITARIA,TRUE,normalizacion_automatica,3874,40,2012-09,2015-12,bancos
SUB-TOTAL,SUB-TOTAL | PROPIEDAD LOCAL MAYORITARIA,TRUE,normalizacion_automatica,11854,36,2011-01,2013-12,"bancos,financieras"
Sub - Total,SUB-TOTAL | PROPIEDAD LOCAL MAYORITARIA,TRUE,normalizacion_automatica,3874,40,2012-09,2015-12,bancos
