periodo,periodo_de,seccion,producto_publicado,sector,moneda,tasa,valor_publicado,valor,unidad,archivo,sha256,fecha_corte,fila,columna
2011-01,titulo_hoja,CDA,CERTIFIC. DEPOSITOS AHORROS > 365 DIAS,FINANCIERAS,M/L,Efectiva,11.32,11.32,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,21,7
2011-01,titulo_hoja,,PRESTAMO COMERCIAL <= 1AÑO,FINANCIERAS,M/L,Nominal,20.73,20.73,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,8,6
2011-01,titulo_hoja,,PRESTAMO COMERCIAL > 1AÑO,FINANCIERAS,M/L,Nominal,26.66,26.66,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,9,6
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO < = 1 AÑO  (*),FINANCIERAS,M/L,Nominal,19,19,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,10,6
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO > 1 AÑO,FINANCIERAS,M/L,Nominal,14.1,14.1,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,11,6
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO <= 1 AÑO,FINANCIERAS,M/L,Nominal,27.07,27.07,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,12,6
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO > 1 AÑO,FINANCIERAS,M/L,Nominal,27.940000000000001,27.94,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,13,6
2011-01,titulo_hoja,,PRESTAMOS POR TARJETAS DE CREDITO,FINANCIERAS,M/L,Nominal,37.259999999999998,37.26,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,14,6
2011-01,titulo_hoja,,PROMEDIO SIMPLE TASAS ACTIVAS,FINANCIERAS,M/L,Nominal,24.68,24.68,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,15,6
2011-01,titulo_hoja,II. PASIVAS,DEPOSITOS VISTA,FINANCIERAS,M/L,Nominal,0.67000000000000004,0.67,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,17,6
