archivo,hoja,tipo,diseno,fila,concepto,seccion,suma,n,sistema,eje,columna,es_monto,rel
1_BOLB_09_2013_quereemplaza.xls,30,bancos,clasico,,,,0.167126201976493,16,0.0115721054290027,entidad_en_fila,10,TRUE,0.15555409654749
1_BOLB_09_2013_quereemplaza.xls,30,bancos,clasico,,,,16,16,1,entidad_en_fila,11,TRUE,15
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Agricultura,,3.29076478933095,16,0.230217887362562,entidad_en_fila,3,TRUE,3.06054690196838
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Ganadería,,1.54245428454133,16,0.115191780605979,entidad_en_fila,4,TRUE,1.42726250393536
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Industria,,1.69686371774732,16,0.107115215705674,entidad_en_fila,5,TRUE,1.58974850204164
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Comercio > Por Mayor,,2.48497350436133,16,0.134984539086604,entidad_en_fila,6,TRUE,2.34998896527473
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Comercio > Por Menor,,1.5554075922235,16,0.0810152234678296,entidad_en_fila,7,TRUE,1.47439236875567
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Comercio > Servicio,,1.07472677253297,16,0.0789329893265797,entidad_en_fila,8,TRUE,0.995793783206394
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Comercio > Consumo,,2.25149646482652,16,0.158290200160527,entidad_en_fila,9,TRUE,2.09320626466599
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Comercio > Exportación,,0.0887477074015923,16,0.00648594347551117,entidad_en_fila,10,TRUE,0.0822617639260812
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,Sector > Financiero,,2.01456516703449,16,0.0877662208087332,entidad_en_fila,11,TRUE,1.92679894622576
1_BOLB_09_2013_quereemplaza.xls,32,bancos,clasico,,TOTAL > Financiero,,16,16,1,entidad_en_fila,12,TRUE,15
1_BOLB_09_2013_quereemplaza.xls,37,bancos,clasico,,,,1008121.044193,16,990695.813336,entidad_en_fila,10,TRUE,0.0175888810898711
1_BOLB_102013.xls,10,bancos,clasico,,,,95747597.0796447,32,44027022.984835,entidad_en_fila,3,TRUE,1.17474611246426
1_BOLB_102013.xls,10,bancos,clasico,,,,46406092.4349624,19,44946325.2258644,entidad_en_fila,6,TRUE,0.0324780101991066
1_BOLB_102013.xls,10,bancos,clasico,,,,46482957.2159071,19,46041719.3513197,entidad_en_fila,7,TRUE,0.00958343586651341
1_BOLB_102013.xls,22,bancos,clasico,,,,81484239.1670983,32,37465533.3760589,entidad_en_fila,3,TRUE,1.1749120277884
1_BOLB_102013.xls,23,bancos,clasico,,,,79666646.0147685,32,36628097.2950936,entidad_en_fila,3,TRUE,1.1750145898362
1_BOLB_102013.xls,24,bancos,clasico,,,,1817593.15232974,32,837436.08096526,entidad_en_fila,3,TRUE,1.17042612999755
1_BOLB_102013.xls,30,bancos,clasico,,,,13.7068680228573,16,0.844690632614101,entidad_en_fila,3,TRUE,12.8621773902432
1_BOLB_102013.xls,30,bancos,clasico,,,,1.44734459351777,16,0.098505515100216,entidad_en_fila,4,TRUE,1.34883907841756
1_BOLB_102013.xls,30,bancos,clasico,,,,0.301519222242809,16,0.0149459647889233,entidad_en_fila,5,TRUE,0.286573257453886
1_BOLB_102013.xls,30,bancos,clasico,,,,0.199938497923143,16,0.0156723474797614,entidad_en_fila,6,TRUE,0.184266150443381
1_BOLB_102013.xls,30,bancos,clasico,,,,0.0892375773372668,16,0.00726623101047462,entidad_en_fila,7,TRUE,0.0819713463267922
1_BOLB_102013.xls,30,bancos,clasico,,,,0.0425394400642032,16,0.00396075793923699,entidad_en_fila,8,TRUE,0.0385786821249662
1_BOLB_102013.xls,30,bancos,clasico,,,,0.0463259314073171,16,0.00323461979008619,entidad_en_fila,9,TRUE,0.0430913116172309
1_BOLB_102013.xls,30,bancos,clasico,,,,0.166226714650229,16,0.0117239312771999,entidad_en_fila,10,TRUE,0.15450278337303
1_BOLB_102013.xls,30,bancos,clasico,,,,16,16,1,entidad_en_fila,11,TRUE,15
1_BOLB_102013.xls,32,bancos,clasico,,Agricultura,,3.3359066657053,16,0.233873541920432,entidad_en_fila,3,TRUE,3.10203312378487
1_BOLB_102013.xls,32,bancos,clasico,,Ganadería,,1.54105191944501,16,0.114902878166556,entidad_en_fila,4,TRUE,1.42614904127845
1_BOLB_102013.xls,32,bancos,clasico,,Industria,,1.67955034146129,16,0.107059652146968,entidad_en_fila,5,TRUE,1.57249068931432
1_BOLB_102013.xls,32,bancos,clasico,,Comercio > Por Mayor,,2.58273911135158,16,0.135725997243937,entidad_en_fila,6,TRUE,2.44701311410764
